"ESTUDIO";"ENTREV";"REGISTRO";"CUES";"TIPO_TEL";"CCAA";"PROV";"MUN";"TAMUNI";"CAPITAL";"SEXO";"EDAD";"NACIONALIDAD";"ADQUINAC";"PAISNAC";"PAISNAC2";"P4";"P5";"P6";"P7_1";"P7_2";"P7_3";"P7_4";"P7_5";"P7_6";"P7_7";"P7_8";"P7_9";"P7_10";"P7_11";"P7_12";"P8";"ECOPER";"ECOESP";"PESPANNA1";"PESPANNA2";"PESPANNA3";"PPERSONAL1";"PPERSONAL2";"PPERSONAL3";"PREFPTE";"PROBVOTO";"INTENCIONG";"INTENCIONGALTER";"SIMPATIA";"ESCIDEOL";"LIDERESCONOCE_1";"LIDERESCONOCE_2";"LIDERESCONOCE_3";"LIDERESCONOCE_4";"VALORALIDERES_1";"VALORALIDERES_2";"VALORALIDERES_3";"VALORALIDERES_4";"CONOMINIS_1";"CONOMINIS_2";"CONOMINIS_3";"CONOMINIS_4";"CONOMINIS_5";"CONOMINIS_6";"CONOMINIS_7";"CONOMINIS_8";"CONOMINIS_9";"CONOMINIS_10";"CONOMINIS_11";"CONOMINIS_12";"CONOMINIS_13";"CONOMINIS_14";"CONOMINIS_15";"CONOMINIS_16";"CONOMINIS_17";"CONOMINIS_18";"CONOMINIS_19";"CONOMINIS_20";"CONOMINIS_21";"CONOMINIS_22";"VALMINIS_1";"VALMINIS_2";"VALMINIS_3";"VALMINIS_4";"VALMINIS_5";"VALMINIS_6";"VALMINIS_7";"VALMINIS_8";"VALMINIS_9";"VALMINIS_10";"VALMINIS_11";"VALMINIS_12";"VALMINIS_13";"VALMINIS_14";"VALMINIS_15";"VALMINIS_16";"VALMINIS_17";"VALMINIS_18";"VALMINIS_19";"VALMINIS_20";"VALMINIS_21";"VALMINIS_22";"PARTICIPACIONG";"RECUVOTOG";"CERCANIA";"ESCUELA";"NIVELESTENTREV";"RELIGION";"PRACTICARELIG6";"ECIVIL";"SITLAB";"RELALAB";"CNO11";"INGRESHOG";"CLASESOCIAL";"SINCERIDAD";"IA_I504";"IA_I505";"IA_I506";"IA_I507";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I518";"IA_I519";"IA_I520";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS0";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_26";"IA_C2B_27";"IA_C2B_28";"IA_C2B_29";"IA_C2B_30";"IA_C2B_31";"IA_C2B_32";"IA_C2B_33";"IA_C2B_34";"IA_C2B_35";"IA_C2B_36";"IA_C2B_37";"IA_C2B_38";"IA_C2B_39";"IA_C2B_40";"IA_C2B_41";"IA_C2B_42";"IA_C2B_43";"IA_C2B_44";"IA_C2B_45";"IA_C3";"IA_C4";"INTENCIONGR";"INTENCIONGALTERR";"VOTOSIMG";"RECUVOTOGR";"RECUERDO";"ESTUDIOS";"CNO11R";"CLASESUB";"PESO";"PESOCCAA"
3492;0;42757;1563;2;1;4;0;1;3;1;53;1;1;1;0;2;2;2;2;2;2;1;1;2;2;2;1;1;2;1;1;5;5;51;42;8;12;78;7;97;10;9977;0;9999;5;1;1;1;1;1;1;1;1;7;7;7;7;7;7;1;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;6;0;2;2;0;0;6;12;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;5;0;-4;"";"";3;1;25;5;23;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;9977;0;9977;1;1;1;12;5;2,41278;1,1077
3492;0;63963;2253;2;1;4;0;2;3;1;32;1;1;1;0;1;2;2;1;1;1;1;1;1;1;2;2;1;2;2;2;4;2;11;18;7;9;7;999;8;10;2;3;0;4;1;1;1;1;1;5;2;2;7;1;7;1;7;7;1;1;1;7;7;1;7;1;1;1;7;1;1;7;7;7;0;2;0;2;0;0;1;2;1;0;0;1;0;1;1;2;0;4;2;0;0;0;1;1;1;3;6;2;1;2;4;0;0;6;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;"";"";3;1;25;5;13;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;3;2;1;1;4;16;5;2,83098;1,48169
3492;0;24070;883;2;1;4;13;5;2;2;66;1;1;1;0;2;2;1;2;2;2;1;2;1;2;1;1;2;2;2;2;2;2;77;51;7;77;76;80;1;10;1;9998;0;4;1;1;1;1;6;3;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;7;1;1;7;6;6;7;6;8;7;6;5;6;5;7;7;7;8;6;6;6;5;0;7;6;1;1;1;3;11;5;0;1;2;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;5;0;-4;"";"";2;1;25;4;17;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;9998;1;1;1;6;12;1;0,2773;0,8249
3492;0;41616;1520;2;1;4;13;5;2;1;53;1;1;1;0;1;2;1;2;2;2;2;1;1;1;2;2;2;1;2;4;4;2;11;999;999;1;7;9;98;10;9998;0;9998;1;1;1;1;1;8;1;9;1;7;7;7;1;1;7;1;1;1;7;1;1;7;1;1;7;7;1;7;7;7;7;0;0;0;5;5;0;8;5;6;0;9;9;0;5;6;0;0;7;0;0;0;0;1;21;901;3;6;6;0;2;4;0;0;6;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;14;0;-4;"";"";3;1;25;5;17;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;9998;0;9998;21;21;4;16;5;1,0252;0,73731
3492;0;42259;1544;2;1;4;13;5;2;1;31;2;2;2;343;2;2;3;1;2;2;1;1;1;2;2;1;1;1;2;2;2;2;51;22;998;24;9;7;1;0;1;2;0;10;1;1;1;1;5;4;4;1;7;7;1;1;7;7;1;7;1;7;7;7;7;7;7;1;7;1;7;7;7;7;0;0;3;1;0;0;4;0;1;0;0;0;0;0;0;2;0;2;0;0;0;0;1;1;1;3;10;5;0;2;1;1;4;2;3;2;0;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;24;2;-4;"";"";3;1;25;5;15;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;2;1;1;1;6;4;2;0,49484;0,83761
3492;0;44502;1634;1;1;4;13;5;2;2;61;1;1;2;228;4;4;4;1;1;2;2;1;1;1;1;1;1;2;2;2;2;5;25;21;18;70;51;8;8;10;9998;0;9997;5;1;1;1;1;1;4;1;4;7;7;7;7;7;7;1;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;9997;3;6;1;6;2;7;0;0;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;-4;"";"";3;1;25;5;18;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;9998;0;9997;3;3;4;14;2;0,94138;0,82237
3492;0;45440;1675;2;1;4;13;5;2;2;46;1;1;1;0;4;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;4;24;8;58;35;9;8;8;10;2;3;0;8;1;1;1;1;1;5;1;2;7;7;1;1;7;7;1;1;1;7;1;1;7;1;1;7;7;1;1;7;1;7;0;0;1;2;0;0;1;2;1;0;1;1;0;5;1;0;0;4;1;0;4;0;1;2;2;3;15;1;4;1;1;2;1;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;-4;"";"";3;1;25;5;17;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;3;2;2;2;6;1;2;0,53814;0,81096
3492;0;46468;1710;2;1;4;13;5;2;1;40;1;1;1;0;2;1;2;2;2;2;1;1;1;1;1;1;2;1;1;3;2;2;52;80;77;77;80;9;4;10;21;8;0;1;1;1;1;1;7;3;9;1;7;1;1;1;7;7;1;1;1;7;1;1;7;1;1;1;1;1;1;7;7;1;0;4;6;6;0;0;8;8;6;0;3;5;0;5;5;3;6;4;4;0;0;7;1;21;8;3;7;5;0;1;1;1;3;3;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;9;0;-4;"";"";3;1;25;5;14;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;21;8;21;21;21;5;3;2;0,56679;0,8054
3492;0;46635;1718;1;1;4;13;5;2;1;81;1;1;1;0;1;1;1;8;2;2;1;2;1;2;2;1;2;2;2;1;2;4;8;50;22;21;6;22;98;0;9997;0;9998;5;1;1;7;7;4;3;0;0;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;9998;3;6;9;0;1;2;0;0;4;5;1;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;45;0;0;0;0;65;0;-4;"";"";3;1;25;5;26;3;1;0;0;1;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;9997;0;9998;0;9997;4;12;4;0,60271;0,8552
3492;0;49985;1836;2;1;4;13;5;2;1;40;1;1;1;0;5;4;4;1;1;2;1;1;1;2;1;1;1;1;2;2;3;3;8;25;24;8;9;5;3;10;3;9993;0;10;1;1;1;1;1;1;1;6;7;1;1;1;7;7;1;1;1;7;7;1;1;7;1;7;7;1;7;7;1;1;0;98;5;1;0;0;1;1;1;0;0;1;5;0;1;0;0;1;0;0;1;5;1;3;3;3;4;2;2;1;1;1;7;3;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;5;0;-4;"";"";3;1;25;5;12;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;3;9993;3;3;3;3;7;5;3,25522;0,8054
